hero_id,hero_name,vs_hero_id,vs_hero_name,games_played,wins,wr_a_b,carry,midlane,offlane,hero_wr,vs_hero_wr,xWr_a_b,Advantage,carry_rank_vs_hero,mid_rank_vs_hero,offlane_rank_vs_hero
1,Anti-Mage,82,Meepo,1730,656,0.379190751,1,0,0,0.498382359,0.499110175,0.49927218,-0.120081429,36,38,45
4,Bloodseeker,82,Meepo,452,237,0.524336283,1,0,1,0.51234299,0.499110175,0.513232234,0.011104049,4,3,4
6,Drow Ranger,82,Meepo,1727,767,0.444122756,1,0,0,0.487777855,0.499110175,0.488667187,-0.044544431,17,16,26
8,Juggernaut,82,Meepo,1600,739,0.461875,1,0,0,0.517478263,0.499110175,0.518366946,-0.056491946,23,22,32
10,Morphling,82,Meepo,608,243,0.399671053,1,1,0,0.48105429,0.499110175,0.481942898,-0.082271845,29,31,37
11,Shadow Fiend,82,Meepo,2443,1203,0.492427343,1,1,0,0.477403563,0.499110175,0.478291642,0.014135701,2,2,3
12,Phantom Lancer,82,Meepo,1635,773,0.472782875,1,0,0,0.538035005,0.499110175,0.538919562,-0.066136687,25,26,34
18,Sven,82,Meepo,1128,586,0.519503546,1,0,0,0.507274327,0.499110175,0.50816394,0.011339606,3,3,4
19,Tiny,82,Meepo,575,251,0.436521739,1,1,1,0.445800632,0.499110175,0.446680171,-0.010158432,7,8,12
21,Windranger,82,Meepo,1642,717,0.436662607,1,1,1,0.483192071,0.499110175,0.484080943,-0.047418337,20,18,26
32,Riki,82,Meepo,609,259,0.425287356,1,0,0,0.521197355,0.499110175,0.522085514,-0.096798158,33,36,42
35,Sniper,82,Meepo,2276,979,0.430140598,1,1,0,0.518885012,0.499110175,0.519773508,-0.08963291,30,33,39
41,Faceless Void,82,Meepo,1104,473,0.428442029,1,0,0,0.502277467,0.499110175,0.503167266,-0.074725237,28,29,35
42,Wraith King,82,Meepo,1479,687,0.464503043,1,0,0,0.555585402,0.499110175,0.556464056,-0.091961013,31,35,39
44,Phantom Assassin,82,Meepo,1647,779,0.472981178,1,0,0,0.526825397,0.499110175,0.527712576,-0.054731398,22,22,32
46,Templar Assassin,82,Meepo,540,214,0.396296296,1,1,0,0.458010563,0.499110175,0.458894244,-0.062597948,24,24,34
48,Luna,82,Meepo,1370,632,0.461313869,1,0,0,0.505086623,0.499110175,0.50597634,-0.044662471,18,16,26
54,Lifestealer,82,Meepo,1242,565,0.454911433,1,0,0,0.524150397,0.499110175,0.52503807,-0.070126637,26,28,35
56,Clinkz,82,Meepo,590,268,0.454237288,1,1,0,0.499840236,0.499110175,0.500730062,-0.046492774,19,17,26
59,Huskar,82,Meepo,390,157,0.402564103,1,1,0,0.455153237,0.499110175,0.456036044,-0.053471942,21,21,32
63,Weaver,82,Meepo,679,325,0.478645066,1,0,1,0.48543518,0.499110175,0.486324296,-0.00767923,6,8,8
67,Spectre,82,Meepo,1665,736,0.442042042,1,0,0,0.552194948,0.499110175,0.553074913,-0.111032871,35,38,44
70,Ursa,82,Meepo,820,372,0.453658537,1,0,0,0.476374953,0.499110175,0.477262866,-0.023604329,11,10,15
72,Gyrocopter,82,Meepo,244,100,0.409836066,1,0,0,0.447456394,0.499110175,0.448336557,-0.038500492,16,13,19
77,Lycan,82,Meepo,221,83,0.375565611,1,0,1,0.480398327,0.499110175,0.481286846,-0.105721235,34,37,43
80,Lone Druid,82,Meepo,296,129,0.435810811,1,0,0,0.467364741,0.499110175,0.468250878,-0.032440067,13,12,18
81,Chaos Knight,82,Meepo,496,217,0.4375,1,0,1,0.530868818,0.499110175,0.531755155,-0.094255155,32,36,40
89,Naga Siren,82,Meepo,254,122,0.480314961,1,0,0,0.50108835,0.499110175,0.501978167,-0.021663207,9,10,14
93,Slark,82,Meepo,946,446,0.471458774,1,0,0,0.504027103,0.499110175,0.504916858,-0.033458084,14,12,18
94,Medusa,82,Meepo,425,205,0.482352941,1,1,0,0.517373681,0.499110175,0.518262376,-0.035909435,15,12,19
95,Troll Warlord,82,Meepo,354,192,0.542372881,1,0,0,0.523300127,0.499110175,0.524187946,0.018184936,1,2,3
97,Magnus,82,Meepo,1411,649,0.459957477,1,0,1,0.480800468,0.499110175,0.481689042,-0.021731565,10,10,14
109,Terrorblade,82,Meepo,480,224,0.466666667,1,0,0,0.480143662,0.499110175,0.481032146,-0.01436548,8,9,14
113,Arc Warden,82,Meepo,742,319,0.429919137,1,1,0,0.499661347,0.499110175,0.500551173,-0.070632035,27,28,35
114,Monkey King,82,Meepo,591,271,0.458544839,1,0,0,0.458836953,0.499110175,0.459720877,-0.001176038,5,7,7
138,Muerta,82,Meepo,399,186,0.466165414,1,1,0,0.492120728,0.499110175,0.493010357,-0.026844943,12,10,17
