hero_role_id,Heroes,Role
1,Anti-Mage,Carry
2,Arc Warden,Carry
3,Bloodseeker,Carry
4,Chaos Knight,Carry
5,Clinkz,Carry
6,Drow Ranger,Carry
7,Faceless Void,Carry
8,Gyrocopter,Carry
9,Huskar,Carry
10,Juggernaut,Carry
11,Lifestealer,Carry
12,Lone Druid,Carry
13,Luna,Carry
14,Lycan,Carry
15,Magnus,Carry
16,Medusa,Carry
17,Monkey King,Carry
18,Morphling,Carry
19,Muerta,Carry
20,Naga Siren,Carry
21,Phantom Assassin,Carry
22,Phantom Lancer,Carry
23,Riki,Carry
24,Shadow Fiend,Carry
25,Slark,Carry
26,Sniper,Carry
27,Spectre,Carry
28,Sven,Carry
29,Templar Assassin,Carry
30,Terrorblade,Carry
31,Tiny,Carry
32,Troll Warlord,Carry
33,Ursa,Carry
34,Weaver,Carry
35,Windranger,Carry
36,Wraith King,Carry
37,Alchemist,Midlane
38,Arc Warden,Midlane
39,Batrider,Midlane
40,Broodmother,Midlane
41,Clinkz,Midlane
42,Death Prophet,Midlane
43,Ember Spirit,Midlane
44,Huskar,Midlane
45,Invoker,Midlane
46,Kez,Midlane
47,Kunkka,Midlane
48,Leshrac,Midlane
49,Lina,Midlane
50,Medusa,Midlane
51,Meepo,Midlane
52,Morphling,Midlane
53,Muerta,Midlane
54,Necrophos,Midlane
55,Outworld Destroyer,Midlane
56,Puck,Midlane
57,Pudge,Midlane
58,Pugna,Midlane
59,Queen of Pain,Midlane
60,Razor,Midlane
61,Shadow Fiend,Midlane
62,Silencer,Midlane
63,Skywrath Mage,Midlane
64,Snapfire,Midlane
65,Sniper,Midlane
66,Storm Spirit,Midlane
67,Templar Assassin,Midlane
68,Tinker,Midlane
69,Tiny,Midlane
70,Viper,Midlane
71,Visage,Midlane
72,Void Spirit,Midlane
73,Windranger,Midlane
74,Zeus,Midlane
75,Abaddon,Offlane
76,Axe,Offlane
77,Batrider,Offlane
78,BeastMaster,Offlane
79,Bloodseeker,Offlane
80,Bounty Hunter,Offlane
81,BrewMaster,Offlane
82,Bristleback,Offlane
83,Broodmother,Offlane
84,Centaur Warrunner,Offlane
85,Chaos Knight,Offlane
86,Clockwerk,Offlane
87,Dark Seer,Offlane
88,Dawnbreaker,Offlane
89,Death Prophet,Offlane
90,Doom,Offlane
91,Dragon Knight,Offlane
92,Earth Spirit,Offlane
93,EarthShaker,Offlane
94,Elder Titan,Offlane
95,Hoodwink,Offlane
96,Legion Commander,Offlane
97,Lycan,Offlane
98,Magnus,Offlane
99,Marci,Offlane
100,Mars,Offlane
101,Mirana,Offlane
102,Necrophos,Offlane
103,Night Stalker,Offlane
104,Pangolier,Offlane
105,Primal Beast,Offlane
106,Pudge,Offlane
107,Razor,Offlane
108,Sand King,Offlane
109,Slardar,Offlane
110,Tidehunter,Offlane
111,Timbersaw,Offlane
112,Tiny,Offlane
113,Tusk,Offlane
114,Underlord,Offlane
115,Undying,Offlane
116,Viper,Offlane
117,Weaver,Offlane
118,Windranger,Offlane
119,Ancient Apparition,Supports
120,Bane,Supports
121,Chen,Supports
122,Crystal Maiden,Supports
123,Dark Willow,Supports
124,Dazzle,Supports
125,Disruptor,Supports
126,Enchantress,Supports
127,Enigma,Supports
128,Grimstroke,Supports
129,Io,Supports
130,Jakiro,Supports
131,Keeper of the Light,Supports
132,Largo,Supports
133,Lich,Supports
134,Lion,Supports
135,Nature's Prophet,Supports
136,Nyx Assassin,Supports
137,Ogre Magi,Supports
138,Omniknight,Supports
139,Oracle,Supports
140,Phoenix,Supports
141,Ringmaster,Supports
142,Rubick,Supports
143,Shadow Demon,Supports
144,Shadow Shaman,Supports
145,Spirit Breaker,Supports
146,Techies,Supports
147,Treant Protector,Supports
148,Vengeful Spirit,Supports
149,Venomancer,Supports
150,Warlock,Supports
151,Winter Wyvern,Supports
152,Witch Doctor,Supports
